time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-08-13T13:40:09.938Z,-9.7401,114.0321,43.64,4.9,mb,,98,1.267,0.75,us,us600054hk,2019-11-02T15:26:04.040Z,"148 km SSW of Muncar, Indonesia",earthquake,3.5,7.8,0.109,26,reviewed,us,us
2019-08-12T07:43:19.887Z,-9.6019,114.1901,51.16,4.4,mb,,96,1.125,1.36,us,us6000570h,2019-10-29T20:34:03.040Z,"130 km S of Muncar, Indonesia",earthquake,8.2,8.4,0.143,14,reviewed,us,us
2019-07-24T13:17:19.240Z,-10.6813,114.9655,10,5.2,mww,,59,2.339,0.86,us,us60004urc,2019-10-11T20:12:25.040Z,"210 km S of Nusa Dua, Indonesia",earthquake,8.2,1.9,0.075,17,reviewed,us,us
2019-07-19T12:33:17.757Z,-9.2465,116.2031,123.99,4.2,mb,,95,2.168,0.63,us,us60004vxn,2019-10-04T16:37:20.040Z,"59 km SSE of Lembar, Indonesia",earthquake,7.9,9.5,0.127,17,reviewed,us,us
2019-07-12T19:15:31.992Z,-9.0081,117.8778,40.85,4.4,mb,,60,3.721,1.05,us,us70004qiz,2019-09-28T20:01:30.040Z,"76 km SE of Sumbawa Besar, Indonesia",earthquake,7.1,6.2,0.148,16,reviewed,us,us
2019-07-03T22:12:54.977Z,-9.646,114.1005,47.07,4.2,mb,,121,1.169,0.65,us,us70004iyg,2019-09-26T14:31:04.040Z,"136 km S of Muncar, Indonesia",earthquake,7.8,8.5,0.167,10,reviewed,us,us
2019-06-27T05:05:23.549Z,-9.4158,117.3257,90.93,4.4,mb,,111,3.273,0.52,us,us700045rj,2019-09-14T16:08:12.040Z,"102 km S of Sumbawa Besar, Indonesia",earthquake,3.3,8.2,0.12,20,reviewed,us,us
2019-05-22T07:09:27.887Z,-9.5032,114.0125,56.88,4.1,mb,,152,1.035,0.52,us,us70003t8w,2019-08-13T14:30:48.040Z,"123 km SSW of Muncar, Indonesia",earthquake,7.9,7.4,0.174,10,reviewed,us,us
2019-04-28T23:42:56.637Z,-9.3506,116.0563,81.05,4.2,mb,,76,2.074,1.23,us,us70003dn7,2019-07-13T18:42:50.040Z,"69 km S of Lembar, Indonesia",earthquake,7.7,9.6,0.176,9,reviewed,us,us
2019-04-22T06:49:51.502Z,-9.1528,117.4461,100.58,4.7,mb,,45,3.325,1.35,us,us70003a54,2019-06-26T20:55:11.040Z,"73 km S of Sumbawa Besar, Indonesia",earthquake,6.5,4.7,0.077,51,reviewed,us,us
2019-01-02T14:26:01.950Z,-9.445,117.9736,10,4.9,mww,,46,3.897,1.15,us,us2000izub,2019-03-08T17:50:14.040Z,"114 km SSW of Dompu, Indonesia",earthquake,7.3,1.8,0.071,19,reviewed,us,us
2018-12-10T09:53:57.680Z,-9.0262,117.7632,110.96,4.8,mb,,53,3.612,1.39,us,us1000i5jz,2019-02-16T22:29:02.040Z,"69 km SSE of Sumbawa Besar, Indonesia",earthquake,2.9,8.2,0.099,32,reviewed,us,us
2018-11-14T17:23:31.720Z,-9.0392,115.4621,68.09,5,mb,,48,1.413,1.01,us,us1000hrpc,2019-01-30T18:36:24.040Z,"36 km SE of Nusa Dua, Indonesia",earthquake,6.2,4.9,0.069,68,reviewed,us,us
2018-10-31T18:22:56.110Z,-9.1501,117.2784,80.8,4.3,mb,,94,3.162,1.05,us,us2000i4t0,2019-01-21T14:29:41.040Z,"74 km SSW of Sumbawa Besar, Indonesia",earthquake,7.7,8.1,0.104,26,reviewed,us,us
2018-10-27T09:06:30.260Z,-9.0242,115.9416,76.72,4.5,mb,,46,1.852,0.66,us,us1000hhxp,2019-01-10T17:18:39.040Z,"36 km SSW of Lembar, Indonesia",earthquake,6.6,7.7,0.106,26,reviewed,us,us
2018-10-23T23:16:31.030Z,-10.4691,116.8856,10,4.4,mb,,100,3.349,1.28,us,us1000hgc5,2019-01-10T17:18:34.040Z,"206 km SSE of Praya, Indonesia",earthquake,4.5,1.9,0.117,21,reviewed,us,us
2018-10-23T21:35:14.470Z,-10.4668,116.953,10,4.4,mb,,95,3.401,1.2,us,us1000hgai,2019-01-10T17:18:34.040Z,"208 km SSE of Praya, Indonesia",earthquake,6.5,1.9,0.103,27,reviewed,us,us
2018-08-31T02:21:54.910Z,-9.0292,115.872,62.48,4.1,mb,,116,1.788,0.33,us,us2000haea,2018-11-07T18:37:12.040Z,"40 km SSW of Lembar, Indonesia",earthquake,10.8,15.3,0.165,10,reviewed,us,us
2018-08-22T22:48:42.610Z,-9.0829,114.8224,70.95,5.1,mb,,40,0.899,1.12,us,us1000gfrs,2018-11-01T17:50:55.040Z,"49 km SW of Jimbaran, Indonesia",earthquake,6.6,3.7,0.062,85,reviewed,us,us
