time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-06-29T06:47:04.303Z,-8.1929,108.9633,78.89,5.1,mb,,122,1.569,0.84,us,us7000477c,2019-09-14T16:08:18.040Z,"69 km SSW of Kroya, Indonesia",earthquake,8.2,7,0.083,47,reviewed,us,us
2019-06-21T10:27:29.454Z,-8.1587,108.8382,94,4.6,mb,,105,1.686,0.78,us,us60004461,2019-09-11T15:19:24.040Z,"73 km SW of Kroya, Indonesia",earthquake,7,2.5,0.085,41,reviewed,us,us
2019-06-09T09:32:25.075Z,-8.1979,108.9471,70.44,5.4,mww,,45,1.586,0.89,us,us70003xf0,2019-08-27T17:47:59.040Z,"70 km SSW of Kroya, Indonesia",earthquake,7.7,5.4,0.08,15,reviewed,us,us
2019-06-04T16:53:11.525Z,-8.2452,107.3348,35,4.4,mb,,107,2.773,1,us,us70003yhr,2019-08-27T17:47:30.040Z,"116 km S of Banjar, Indonesia",earthquake,7.4,2,0.169,12,reviewed,us,us
2019-06-01T04:13:43.162Z,-9.1683,107.5991,10,4.6,mb,,70,2.32,0.41,us,us70003u1p,2019-08-24T21:17:42.040Z,"208 km SSW of Kawalu, Indonesia",earthquake,5,1.9,0.165,11,reviewed,us,us
2019-05-28T15:00:26.603Z,-8.6701,108.6861,95.34,4.7,mb,,79,1.967,0.7,us,us60003t22,2019-08-24T21:17:29.040Z,"130 km SSW of Kroya, Indonesia",earthquake,7.2,8.2,0.11,25,reviewed,us,us
2019-05-20T08:24:59.384Z,-9.4217,108.6276,10,4.5,mb,,73,2.4,0.8,us,us60003t5e,2019-08-07T22:03:31.040Z,"209 km SSW of Kroya, Indonesia",earthquake,4.8,1.9,0.205,7,reviewed,us,us
2019-05-18T01:51:29.831Z,-9.5083,108.5971,8,5.6,mww,,33,2.477,1.19,us,us70003mw2,2019-08-07T22:03:46.040Z,"219 km SSW of Kroya, Indonesia",earthquake,6.7,1.7,0.06,27,reviewed,us,us
2019-05-04T00:54:48.937Z,-8.5249,108.885,44,4.3,mb,,83,1.731,0.51,us,us70003kw3,2019-07-25T18:54:14.040Z,"106 km SSW of Kroya, Indonesia",earthquake,5.2,11.7,0.201,7,reviewed,us,us
2019-04-21T04:12:53.004Z,-9.4864,109.538,10,4.8,mb,,114,1.842,1.14,us,us700039vu,2019-06-26T20:55:04.040Z,"188 km SSW of Srandakan, Indonesia",earthquake,5.1,1.8,0.148,14,reviewed,us,us
